#Hz mikro	T mikro	Hz AVO	T AVO
177.49	5.63412	186.1	5.37346
184.52	5.41947	193.8	5.15996
188.92	5.29325	197.8	5.05561
200.05	4.99875	208.6	4.79386
205.88	4.85720	214	4.67290
212.19	4.71276	221.8	4.50857
219.32	4.55955	226.2	4.42087
223.86	4.46708	233.6	4.28082
230.5	4.33839	241.1	4.14766
235.64	4.24376	249.5	4.00802
244.55	4.08914	255.7	3.91083
253.89	3.93871	265.4	3.76790
257.25	3.88727	269.4	3.71195
265.54	3.76591	277.3	3.60620
271.72	3.68026	279.4	3.57910
278.54	3.59015	288.3	3.46861
284.5	3.51494	296.8	3.36927
291.42	3.43147	305.1	3.27761
298.16	3.35390	311.3	3.21234
304.75	3.28138	317.9	3.14564
310.92	3.21626	324.2	3.08452
315.13	3.17329	330.9	3.02206
325.27	3.07437	338.9	2.95072
329.96	3.03067	344.3	2.90444
338.4	2.95508	353.3	2.83046
344.89	2.89948	359.4	2.78242
350.36	2.85421	365	2.73973
356.09	2.80828	371.8	2.68962
365.36	2.73703	380.9	2.62536
370.63	2.69811	385.7	2.59269
376.99	2.65259	392.9	2.54518
384.46	2.60105	399.6	2.50250
390.75	2.55918	407.1	2.45640
402.15	2.48663	420.5	2.37812
403.17	2.48034	419.6	2.38322
409.84	2.43998	425.3	2.35128
417.12	2.39739	434.5	2.30150
423.5	2.36128	440.4	2.27066
430.84	2.32105	445.9	2.24266
437.1	2.28781	455.3	2.19635
442.06	2.26214	460.6	2.17108
450.34	2.22054	468	2.13675
456.32	2.19144	473.3	2.11282
462.68	2.16132	481.2	2.07814
469.28	2.13092	488.2	2.04834
476.14	2.10022	495.4	2.01857
482.2	2.07383	501.8	1.99283
488.8	2.04583	507.6	1.97006
494.4	2.02265	513	1.94932
502.29	1.99088	522	1.91571
508.13	1.96800	528	1.89394
514.46	1.94379	533	1.87617
521.64	1.91703	542	1.84502
528.2	1.89322	547	1.82815
536.07	1.86543	554	1.80505
540.36	1.85062	560	1.78571
547.07	1.82792	568	1.76056
554.01	1.80502	575	1.73913
561.15	1.78205	582	1.71821
567.8	1.76118	586	1.70648
574.24	1.74143	595	1.68067
581.8	1.71880	604	1.65563
588.43	1.69944	610	1.63934
594.16	1.68305	617	1.62075
601.59	1.66226	624	1.60256
606.68	1.64832	631	1.58479
613.76	1.62930	637	1.56986
621.43	1.60919	644	1.55280
627.1	1.59464	650	1.53846
633.69	1.57806	657	1.52207
640.28	1.56182	663	1.50830
646.9	1.54583	670	1.49254
653.37	1.53053	677	1.47710
658.93	1.51761	684	1.46199
666	1.50150	691	1.44718
672.61	1.48675	697	1.43472
674.39	1.48282	700	1.42857
686.94	1.45573	711	1.40647
690.48	1.44827	715	1.39860
696.58	1.43559	722	1.38504
704.04	1.42037	729	1.37174
712.54	1.40343	737	1.35685
716.75	1.39519	743	1.34590
722.58	1.38393	748	1.33690
731.73	1.36662	756	1.32275
738.11	1.35481	763	1.31062
740.14	1.35110	768	1.30208
748.66	1.33572	774	1.29199
756.07	1.32263	783	1.27714
765.14	1.30695	790	1.26582
769.42	1.29968	795	1.25786
773.79	1.29234	800	1.25000
781.61	1.27941	808	1.23762
788.5	1.26823	816	1.22549
793.51	1.26022	820	1.21951
800.94	1.24853	831	1.20337
810.11	1.23440	836	1.19617
811.5	1.23229	838	1.19332
